Plant code;Primary Plant activity;Audit code;Audit date;Audit nature;Audit schedule type;Non-verified NCs;Non-verified Business Critical NCs;Non-verified Critical NCs;Non-verified Major NCs;Non-verified Minor NCs;Overdue non-verified NCs;Country/Region
XXX1000044459;Manufacture of cocoa, chocolate and sugar confectionery;XXXA600080873;23/10/2024;Full initial audit;Announced;1;0;0;0;1;1;United States
XXX1000044460;Manufacture of bakery products;XXXA600112216;29/04/2025;Full initial audit;Semi-announced;4;0;0;4;0;4;United States
XXX1000044721;Manufacture of bakery products;XXXA600188473;20/03/2026;Full initial audit;Semi-announced;3;0;0;3;0;3;China
XXX1000045333;Manufacture of plastics products;XXXA600158873;29/09/2025;Periodic audit;Announced;0;0;0;0;0;0;Pakistan
XXX1000045665;Manufacture of other food products n.e.c.;;;;;;;;;;;Norway
XXX1000045740;Warehousing and storage;;;;;;;;;;;United Kingdom
XXX1000046240;Manufacture of other food products n.e.c.;;;;;;;;;;;China
XXX1000046565;Manufacture of dairy products;;;;;;;;;;;Italy
XXX1000046591;Manufacture of other food products n.e.c.;XXXA600148323;29/07/2025;Partial follow-up audit;Announced;5;0;1;3;1;5;Chile
XXX1000046772;Manufacture of dairy products;XXXA600112733;25/02/2025;Full initial audit;Announced;1;0;0;1;0;1;New Zealand
XXX1000047641;Manufacture of other food products n.e.c.;XXXA600100442;20/11/2024;Full initial audit;Announced;4;0;2;1;1;4;Colombia
XXX1000047795;Manufacture of other chemical products n.e.c.;XXXA600185448;09/02/2026;Periodic audit;Semi-announced;2;0;0;2;0;2;Brazil
XXX1000047867;Manufacture of cocoa, chocolate and sugar confectionery;XXXA600088447;12/11/2024;Full initial audit;Announced;0;0;0;0;0;0;Poland
XXX1000047916;Manufacture of other food products n.e.c.;XXXA600110202;21/01/2025;Full initial audit;Announced;0;0;0;0;0;0;South Africa
XXX1000048146;Manufacture of bakery products;XXXA600097504;19/11/2024;Full initial audit;Announced;16;0;8;7;1;16;India
XXX1000048155;Packaging activities;XXXA600111075;20/02/2025;Full initial audit;Announced;7;0;3;2;2;7;Germany
XXX1000048274;Other manufacturing n.e.c.;;;;;;;;;;;Viet Nam
